#Time Stamp,seconds since epoch,Input A,Input B,Pressure
Fri Jun  5 17:17:14 2015,1433539034.775767,+297.171,+298.207,3.820E-3
Fri Jun  5 17:17:15 2015,1433539035.992281,+297.167,+298.207,3.820E-3
Fri Jun  5 17:17:17 2015,1433539037.205001,+297.168,+298.207,3.830E-3
Fri Jun  5 17:17:18 2015,1433539038.415761,+297.168,+298.208,3.830E-3
Fri Jun  5 17:17:19 2015,1433539039.624726,+297.171,+298.207,3.830E-3
Fri Jun  5 17:17:20 2015,1433539040.83489,+297.169,+298.208,3.830E-3
Fri Jun  5 17:17:22 2015,1433539042.045884,+297.172,+298.208,3.830E-3
Fri Jun  5 17:17:23 2015,1433539043.262358,+297.169,+298.208,3.830E-3
Fri Jun  5 17:17:24 2015,1433539044.47737,+297.174,+298.209,3.830E-3
Fri Jun  5 17:17:25 2015,1433539045.689788,+297.169,+298.209,3.840E-3
Fri Jun  5 17:17:26 2015,1433539046.906344,+297.172,+298.210,3.830E-3
Fri Jun  5 17:17:28 2015,1433539048.125945,+297.171,+298.210,3.840E-3
Fri Jun  5 17:17:29 2015,1433539049.335665,+297.171,+298.209,3.840E-3
Fri Jun  5 17:17:30 2015,1433539050.555981,+297.171,+298.209,3.840E-3
Fri Jun  5 17:17:31 2015,1433539051.769767,+297.169,+298.209,3.840E-3
Fri Jun  5 17:17:32 2015,1433539052.980044,+297.169,+298.210,3.840E-3
Fri Jun  5 17:17:34 2015,1433539054.197044,+297.178,+298.208,3.850E-3
Fri Jun  5 17:17:35 2015,1433539055.414596,+297.168,+298.209,3.850E-3
Fri Jun  5 17:17:36 2015,1433539056.631821,+297.169,+298.209,3.850E-3
Fri Jun  5 17:17:37 2015,1433539057.846134,+297.172,+298.209,3.850E-3
Fri Jun  5 17:17:39 2015,1433539059.058194,+297.172,+298.211,3.860E-3
Fri Jun  5 17:17:40 2015,1433539060.274318,+297.172,+298.211,3.850E-3
Fri Jun  5 17:17:41 2015,1433539061.495205,+297.174,+298.210,3.860E-3
Fri Jun  5 17:17:42 2015,1433539062.715688,+297.171,+298.210,3.860E-3
Fri Jun  5 17:17:43 2015,1433539063.929562,+297.168,+298.211,3.860E-3
Fri Jun  5 17:17:45 2015,1433539065.150712,+297.171,+298.211,3.860E-3
