#Time Stamp,seconds since epoch,Input A,Input B,Pressure
Fri Jun  5 18:36:01 2015,1433543761.373168,+240.380,+84.5128,2.261E-6
Fri Jun  5 18:36:02 2015,1433543762.578697,+240.365,+84.5066,2.256E-6
Fri Jun  5 18:36:03 2015,1433543763.790914,+240.353,+84.5023,2.251E-6
Fri Jun  5 18:36:05 2015,1433543765.002645,+240.336,+84.5031,2.246E-6
Fri Jun  5 18:36:06 2015,1433543766.213574,+240.324,+84.4949,2.242E-6
Fri Jun  5 18:36:07 2015,1433543767.430335,+240.314,+84.4908,2.237E-6
Fri Jun  5 18:36:08 2015,1433543768.644079,+240.297,+84.4876,2.235E-6
Fri Jun  5 18:36:09 2015,1433543769.860238,+240.283,+84.4844,2.229E-6
Fri Jun  5 18:36:11 2015,1433543771.06964,+240.266,+84.4798,2.225E-6
Fri Jun  5 18:36:12 2015,1433543772.284647,+240.252,+84.4740,2.223E-6
Fri Jun  5 18:36:13 2015,1433543773.502463,+240.240,+84.4712,2.221E-6
Fri Jun  5 18:36:14 2015,1433543774.716272,+240.225,+84.4697,2.221E-6
Fri Jun  5 18:36:15 2015,1433543775.930908,+240.212,+84.4666,2.216E-6
Fri Jun  5 18:36:17 2015,1433543777.145905,+240.199,+84.4588,2.214E-6
Fri Jun  5 18:36:18 2015,1433543778.364961,+240.183,+84.4542,2.211E-6
Fri Jun  5 18:36:19 2015,1433543779.575472,+240.168,+84.4511,2.209E-6
Fri Jun  5 18:36:20 2015,1433543780.788088,+240.152,+84.4469,2.207E-6
Fri Jun  5 18:36:21 2015,1433543781.998389,+240.143,+84.4455,2.205E-6
Fri Jun  5 18:36:23 2015,1433543783.213714,+240.125,+84.4411,2.201E-6
Fri Jun  5 18:36:24 2015,1433543784.436846,+240.116,+84.4358,2.198E-6
Fri Jun  5 18:36:25 2015,1433543785.658829,+240.094,+84.4335,2.197E-6
Fri Jun  5 18:36:26 2015,1433543786.877374,+240.081,+84.4295,2.194E-6
Fri Jun  5 18:36:28 2015,1433543788.096076,+240.063,+84.4264,2.193E-6
Fri Jun  5 18:36:29 2015,1433543789.303771,+240.058,+84.4222,2.191E-6
Fri Jun  5 18:36:30 2015,1433543790.521146,+240.043,+84.4186,2.190E-6
Fri Jun  5 18:36:31 2015,1433543791.733198,+240.027,+84.4145,2.191E-6
Fri Jun  5 18:36:32 2015,1433543792.948167,+240.014,+84.4108,2.195E-6
Fri Jun  5 18:36:34 2015,1433543794.169176,+239.997,+84.4071,2.200E-6
Fri Jun  5 18:36:35 2015,1433543795.392775,+239.986,+84.4031,2.207E-6
Fri Jun  5 18:36:36 2015,1433543796.61007,+239.973,+84.4008,2.223E-6
Fri Jun  5 18:36:37 2015,1433543797.82985,+239.957,+84.3975,2.246E-6
Fri Jun  5 18:36:39 2015,1433543799.048103,+239.943,+84.3897,2.285E-6
Fri Jun  5 18:36:40 2015,1433543800.26186,+239.930,+84.3862,2.406E-6
Fri Jun  5 18:36:41 2015,1433543801.474882,+239.917,+84.3839,2.572E-6
Fri Jun  5 18:36:42 2015,1433543802.686806,+239.896,+84.3803,2.728E-6
Fri Jun  5 18:36:43 2015,1433543803.907224,+239.887,+84.3756,2.870E-6
Fri Jun  5 18:36:45 2015,1433543805.114006,+239.868,+84.3700,2.995E-6
Fri Jun  5 18:36:46 2015,1433543806.337283,+239.860,+84.3665,3.116E-6
Fri Jun  5 18:36:47 2015,1433543807.552803,+239.845,+84.3632,3.229E-6
Fri Jun  5 18:36:48 2015,1433543808.766146,+239.825,+84.3599,3.338E-6
Fri Jun  5 18:36:49 2015,1433543809.981774,+239.816,+84.3551,3.433E-6
Fri Jun  5 18:36:51 2015,1433543811.189825,+239.803,+84.3518,3.526E-6
Fri Jun  5 18:36:52 2015,1433543812.404757,+239.788,+84.3528,3.611E-6
Fri Jun  5 18:36:53 2015,1433543813.613859,+239.770,+84.3486,3.692E-6
Fri Jun  5 18:36:54 2015,1433543814.828201,+239.760,+84.3450,3.767E-6
Fri Jun  5 18:36:56 2015,1433543816.048568,+239.752,+84.3435,3.843E-6
Fri Jun  5 18:36:57 2015,1433543817.296855,+239.732,+84.3377,3.914E-6
Fri Jun  5 18:36:58 2015,1433543818.51415,+239.722,+84.3326,3.981E-6
Fri Jun  5 18:36:59 2015,1433543819.731808,+239.705,+84.3272,4.043E-6
Fri Jun  5 18:37:00 2015,1433543820.943762,+239.691,+84.3258,4.106E-6
Fri Jun  5 18:37:02 2015,1433543822.156093,+239.673,+84.3222,4.164E-6
Fri Jun  5 18:37:03 2015,1433543823.374179,+239.660,+84.3158,4.216E-6
Fri Jun  5 18:37:04 2015,1433543824.593742,+239.645,+84.3111,4.270E-6
Fri Jun  5 18:37:05 2015,1433543825.8095,+239.632,+84.3125,4.324E-6
Fri Jun  5 18:37:07 2015,1433543827.019488,+239.617,+84.3071,4.373E-6
Fri Jun  5 18:37:08 2015,1433543828.234916,+239.605,+84.3020,4.422E-6
Fri Jun  5 18:37:09 2015,1433543829.447814,+239.587,+84.2970,4.469E-6
Fri Jun  5 18:37:10 2015,1433543830.668835,+239.576,+84.2952,4.516E-6
Fri Jun  5 18:37:11 2015,1433543831.887679,+239.560,+84.2933,4.559E-6
Fri Jun  5 18:37:13 2015,1433543833.103175,+239.547,+84.2883,4.599E-6
Fri Jun  5 18:37:14 2015,1433543834.314624,+239.531,+84.2851,4.641E-6
Fri Jun  5 18:37:15 2015,1433543835.531931,+239.519,+84.2797,4.681E-6
Fri Jun  5 18:37:16 2015,1433543836.746025,+239.505,+84.2765,4.722E-6
Fri Jun  5 18:37:17 2015,1433543837.964345,+239.489,+84.2722,4.759E-6
Fri Jun  5 18:37:19 2015,1433543839.176932,+239.480,+84.2686,4.797E-6
Fri Jun  5 18:37:20 2015,1433543840.399302,+239.462,+84.2666,4.833E-6
Fri Jun  5 18:37:21 2015,1433543841.614195,+239.447,+84.2612,4.869E-6
Fri Jun  5 18:37:22 2015,1433543842.837514,+239.430,+84.2572,4.901E-6
Fri Jun  5 18:37:24 2015,1433543844.058363,+239.423,+84.2557,4.935E-6
Fri Jun  5 18:37:25 2015,1433543845.272387,+239.406,+84.2525,4.968E-6
Fri Jun  5 18:37:26 2015,1433543846.486633,+239.390,+84.2509,5.000E-6
Fri Jun  5 18:37:27 2015,1433543847.703956,+239.375,+84.2436,5.031E-6
Fri Jun  5 18:37:28 2015,1433543848.916664,+239.362,+84.2398,5.062E-6
Fri Jun  5 18:37:30 2015,1433543850.127788,+239.349,+84.2403,5.092E-6
Fri Jun  5 18:37:31 2015,1433543851.339853,+239.336,+84.2302,5.120E-6
Fri Jun  5 18:37:32 2015,1433543852.553938,+239.323,+84.2279,5.147E-6
Fri Jun  5 18:37:33 2015,1433543853.766165,+239.308,+84.2256,5.176E-6
Fri Jun  5 18:37:34 2015,1433543854.983324,+239.295,+84.2174,5.204E-6
Fri Jun  5 18:37:36 2015,1433543856.19341,+239.280,+84.2155,5.230E-6
Fri Jun  5 18:37:37 2015,1433543857.406406,+239.270,+84.2128,5.256E-6
Fri Jun  5 18:37:38 2015,1433543858.619577,+239.251,+84.2100,5.282E-6
Fri Jun  5 18:37:39 2015,1433543859.839745,+239.232,+84.2092,5.307E-6
Fri Jun  5 18:37:41 2015,1433543861.061339,+239.225,+84.2028,5.333E-6
Fri Jun  5 18:37:42 2015,1433543862.281918,+239.215,+84.2008,5.355E-6
Fri Jun  5 18:37:43 2015,1433543863.503755,+239.202,+84.1983,5.379E-6
Fri Jun  5 18:37:44 2015,1433543864.718928,+239.179,+84.1922,5.404E-6
Fri Jun  5 18:37:45 2015,1433543865.941163,+239.170,+84.1891,5.427E-6
Fri Jun  5 18:37:47 2015,1433543867.154856,+239.157,+84.1841,5.449E-6
Fri Jun  5 18:37:48 2015,1433543868.36651,+239.138,+84.1826,5.472E-6
Fri Jun  5 18:37:49 2015,1433543869.574283,+239.127,+84.1789,5.493E-6
Fri Jun  5 18:37:50 2015,1433543870.786284,+239.111,+84.1739,5.514E-6
