#Time Stamp,seconds since epoch,Input A,Input B,Input C,Input D1,Input D2,Pressure
Tue Feb  2 11:32:01 2016,1454430721.868022,;;;;,+299.388,+299.229,+299.026,+300.129,2.341E+0
Tue Feb  2 11:32:03 2016,1454430723.370888,+299.367,+299.388,+299.229,+299.027,+300.129,2.341E+0
Tue Feb  2 11:32:04 2016,1454430724.873551,+299.367,+299.388,+299.229,+299.028,+300.129,2.341E+0
Tue Feb  2 11:32:06 2016,1454430726.376235,+299.367,+299.388,+299.229,+299.028,+300.129,2.342E+0
Tue Feb  2 11:32:07 2016,1454430727.878836,+299.367,+299.388,+299.229,+299.027,+300.129,2.343E+0
Tue Feb  2 11:32:09 2016,1454430729.381419,+299.367,+299.389,+299.229,+299.027,+300.129,2.343E+0
Tue Feb  2 11:32:10 2016,1454430730.884074,+299.367,+299.389,+299.229,+299.027,+300.129,2.343E+0
Tue Feb  2 11:32:12 2016,1454430732.386664,+299.367,+299.389,+299.229,+299.027,+300.129,2.344E+0
Tue Feb  2 11:32:13 2016,1454430733.889291,+299.367,+299.389,+299.229,+299.027,+300.129,2.345E+0
Tue Feb  2 11:32:15 2016,1454430735.391906,+299.367,+299.389,+299.229,+299.027,+300.129,2.345E+0
Tue Feb  2 11:32:16 2016,1454430736.894561,+299.367,+299.389,+299.230,+299.027,+300.129,2.345E+0
Tue Feb  2 11:32:18 2016,1454430738.397175,+299.367,+299.389,+299.229,+299.027,+300.130,2.346E+0
Tue Feb  2 11:32:19 2016,1454430739.899833,+299.367,+299.388,+299.229,+299.027,+300.130,2.346E+0
Tue Feb  2 11:32:21 2016,1454430741.402473,+299.367,+299.389,+299.229,+299.027,+300.130,2.347E+0
Tue Feb  2 11:32:22 2016,1454430742.90512,+299.367,+299.389,+299.229,+299.027,+300.130,2.347E+0
Tue Feb  2 11:32:24 2016,1454430744.407737,+299.367,+299.389,+299.229,+299.027,+300.130,2.347E+0
Tue Feb  2 11:32:25 2016,1454430745.910391,+299.367,+299.389,+299.230,+299.027,+300.130,2.348E+0
Tue Feb  2 11:32:27 2016,1454430747.412996,+299.368,+299.389,+299.230,+299.028,+300.130,2.348E+0
Tue Feb  2 11:32:28 2016,1454430748.915641,+299.368,+299.389,+299.229,+299.028,+300.130,2.349E+0
Tue Feb  2 11:32:30 2016,1454430750.418249,+299.367,+299.389,+299.230,+299.027,+300.130,2.349E+0
Tue Feb  2 11:32:31 2016,1454430751.920905,+299.368,+299.389,+299.229,+299.027,+300.130,2.350E+0
Tue Feb  2 11:32:33 2016,1454430753.423543,+299.368,+299.389,+299.230,+299.027,+300.130,2.350E+0
Tue Feb  2 11:32:34 2016,1454430754.926086,+299.367,+299.389,+299.230,+299.028,+300.130,2.350E+0
Tue Feb  2 11:32:36 2016,1454430756.428706,+299.368,+299.389,+299.230,+299.028,+300.130,2.351E+0
Tue Feb  2 11:32:37 2016,1454430757.931326,+299.367,+299.389,+299.230,+299.028,+300.130,2.351E+0
Tue Feb  2 11:32:39 2016,1454430759.433134,+299.367,+299.390,+299.230,+299.028,+300.130,2.352E+0
Tue Feb  2 11:32:40 2016,1454430760.935844,+299.367,+299.389,+299.230,+299.028,+300.130,2.352E+0
Tue Feb  2 11:32:42 2016,1454430762.438485,+299.368,+299.389,+299.230,+299.028,+300.130,2.353E+0
Tue Feb  2 11:32:43 2016,1454430763.941134,+299.367,+299.389,+299.230,+299.028,+300.130,2.353E+0
Tue Feb  2 11:32:45 2016,1454430765.443787,+299.367,+299.390,+299.230,+299.028,+300.130,2.354E+0
Tue Feb  2 11:32:46 2016,1454430766.946451,+299.367,+299.390,+299.230,+299.028,+300.130,2.354E+0
Tue Feb  2 11:32:48 2016,1454430768.449102,+299.367,+299.390,+299.230,+299.028,+300.130,2.354E+0
Tue Feb  2 11:32:49 2016,1454430769.951799,+299.368,+299.390,+299.230,+299.028,+300.130,2.355E+0
Tue Feb  2 11:32:51 2016,1454430771.454369,+299.368,+299.390,+299.231,+299.028,+300.130,2.355E+0
Tue Feb  2 11:32:52 2016,1454430772.957067,+299.368,+299.390,+299.230,+299.028,+300.131,2.355E+0
Tue Feb  2 11:32:54 2016,1454430774.459699,+299.368,+299.390,+299.231,+299.028,+300.131,2.356E+0
Tue Feb  2 11:32:55 2016,1454430775.962388,+299.367,+299.390,+299.231,+299.028,+300.131,2.357E+0
Tue Feb  2 11:32:57 2016,1454430777.465041,+299.368,+299.390,+299.230,+299.028,+300.131,2.357E+0
Tue Feb  2 11:32:58 2016,1454430778.96766,+299.368,+299.390,+299.230,+299.028,+300.131,2.357E+0
Tue Feb  2 11:33:00 2016,1454430780.470236,+299.368,+299.390,+299.230,+299.029,+300.131,2.358E+0
Tue Feb  2 11:33:01 2016,1454430781.972946,+299.368,+299.390,+299.231,+299.029,+300.131,2.358E+0
Tue Feb  2 11:33:03 2016,1454430783.475591,+299.368,+299.390,+299.231,+299.028,+300.131,2.359E+0
Tue Feb  2 11:33:04 2016,1454430784.978263,+299.368,+299.390,+299.231,+299.029,+300.131,2.359E+0
Tue Feb  2 11:33:06 2016,1454430786.480842,+299.368,+299.390,+299.231,+299.029,+300.132,2.359E+0
Tue Feb  2 11:33:07 2016,1454430787.983485,+299.368,+299.390,+299.231,+299.029,+300.132,2.360E+0
Tue Feb  2 11:33:09 2016,1454430789.486126,+299.368,+299.390,+299.231,+299.029,+300.132,2.360E+0
Tue Feb  2 11:33:10 2016,1454430790.988769,+299.368,+299.390,+299.231,+299.029,+300.132,2.360E+0
