#Time Stamp,seconds since epoch,Input A,Input B,Pressure
Fri Jun  5 10:39:45 2015,1433515185.025786,+295.401,+296.264,8.154E-2
Fri Jun  5 10:39:46 2015,1433515186.238252,+295.403,+296.263,8.158E-2
Fri Jun  5 10:39:47 2015,1433515187.456213,+295.405,+296.263,8.159E-2
Fri Jun  5 10:39:48 2015,1433515188.674216,+295.399,+296.263,8.164E-2
Fri Jun  5 10:39:49 2015,1433515189.890478,+295.403,+296.262,8.166E-2
Fri Jun  5 10:39:51 2015,1433515191.105126,+295.403,+296.261,8.167E-2
Fri Jun  5 10:39:52 2015,1433515192.317023,+295.405,+296.262,8.172E-2
Fri Jun  5 10:39:53 2015,1433515193.533281,+295.408,+296.261,8.174E-2
Fri Jun  5 10:39:54 2015,1433515194.748039,+295.403,+296.261,8.176E-2
Fri Jun  5 10:39:55 2015,1433515195.96267,+295.395,+296.261,8.180E-2
Fri Jun  5 10:39:57 2015,1433515197.183296,+295.399,+296.260,8.181E-2
Fri Jun  5 10:39:58 2015,1433515198.400309,+295.399,+296.260,8.186E-2
Fri Jun  5 10:39:59 2015,1433515199.619945,+295.408,+296.259,8.186E-2
Fri Jun  5 10:40:00 2015,1433515200.838615,+295.399,+296.260,8.191E-2
Fri Jun  5 10:40:02 2015,1433515202.055629,+295.401,+296.260,8.192E-2
Fri Jun  5 10:40:03 2015,1433515203.268128,+295.399,+296.258,8.195E-2
Fri Jun  5 10:40:04 2015,1433515204.479629,+295.401,+296.260,8.198E-2
Fri Jun  5 10:40:05 2015,1433515205.694654,+295.399,+296.260,8.200E-2
Fri Jun  5 10:40:06 2015,1433515206.907936,+295.396,+296.259,8.204E-2
Fri Jun  5 10:40:08 2015,1433515208.122152,+295.398,+296.259,8.205E-2
Fri Jun  5 10:40:09 2015,1433515209.339335,+295.398,+296.259,8.210E-2
Fri Jun  5 10:40:10 2015,1433515210.557506,+295.398,+296.257,8.210E-2
Fri Jun  5 10:40:11 2015,1433515211.774132,+295.401,+296.257,8.214E-2
Fri Jun  5 10:40:12 2015,1433515212.984251,+295.401,+296.257,8.217E-2
Fri Jun  5 10:40:14 2015,1433515214.202263,+295.396,+296.258,8.219E-2
Fri Jun  5 10:40:15 2015,1433515215.4258,+295.403,+296.257,8.223E-2
Fri Jun  5 10:40:16 2015,1433515216.634195,+295.394,+296.257,8.224E-2
Fri Jun  5 10:40:17 2015,1433515217.850688,+295.394,+296.256,8.229E-2
Fri Jun  5 10:40:19 2015,1433515219.066202,+295.395,+296.257,8.229E-2
Fri Jun  5 10:40:20 2015,1433515220.287166,+295.398,+296.256,8.234E-2
Fri Jun  5 10:40:21 2015,1433515221.50861,+295.398,+296.257,8.235E-2
Fri Jun  5 10:40:22 2015,1433515222.725871,+295.394,+296.256,8.238E-2
Fri Jun  5 10:40:23 2015,1433515223.949762,+295.395,+296.254,8.241E-2
Fri Jun  5 10:40:25 2015,1433515225.161467,+295.394,+296.255,8.243E-2
Fri Jun  5 10:40:26 2015,1433515226.375299,+295.392,+296.254,8.247E-2
Fri Jun  5 10:40:27 2015,1433515227.596043,+295.399,+296.254,8.248E-2
Fri Jun  5 10:40:28 2015,1433515228.811349,+295.396,+296.253,8.253E-2
Fri Jun  5 10:40:30 2015,1433515230.033983,+295.396,+296.254,8.253E-2
Fri Jun  5 10:40:31 2015,1433515231.246456,+295.395,+296.254,8.257E-2
Fri Jun  5 10:40:32 2015,1433515232.458766,+295.394,+296.254,8.260E-2
Fri Jun  5 10:40:33 2015,1433515233.679127,+295.396,+296.253,8.262E-2
Fri Jun  5 10:40:34 2015,1433515234.899138,+295.395,+296.252,8.266E-2
Fri Jun  5 10:40:36 2015,1433515236.110931,+295.394,+296.254,8.267E-2
Fri Jun  5 10:40:37 2015,1433515237.32933,+295.398,+296.253,8.271E-2
Fri Jun  5 10:40:38 2015,1433515238.54531,+295.395,+296.254,8.272E-2
Fri Jun  5 10:40:39 2015,1433515239.754952,+295.396,+296.253,8.277E-2
Fri Jun  5 10:40:40 2015,1433515240.96691,+295.394,+296.253,8.278E-2
Fri Jun  5 10:40:42 2015,1433515242.18076,+295.394,+296.252,8.281E-2
Fri Jun  5 10:40:43 2015,1433515243.402218,+295.394,+296.252,8.284E-2
Fri Jun  5 10:40:44 2015,1433515244.617701,+295.395,+296.252,8.285E-2
Fri Jun  5 10:40:45 2015,1433515245.830841,+295.392,+296.251,8.290E-2
Fri Jun  5 10:40:47 2015,1433515247.054309,+295.392,+296.250,8.291E-2
Fri Jun  5 10:40:48 2015,1433515248.273328,+295.388,+296.251,8.295E-2
Fri Jun  5 10:40:49 2015,1433515249.494425,+295.389,+296.251,8.296E-2
Fri Jun  5 10:40:50 2015,1433515250.713489,+295.395,+296.251,8.299E-2
Fri Jun  5 10:40:51 2015,1433515251.93057,+295.392,+296.250,8.303E-2
Fri Jun  5 10:40:53 2015,1433515253.140346,+295.388,+296.250,8.304E-2
Fri Jun  5 10:40:54 2015,1433515254.35427,+295.389,+296.250,8.309E-2
Fri Jun  5 10:40:55 2015,1433515255.570565,+295.392,+296.249,8.309E-2
Fri Jun  5 10:40:56 2015,1433515256.792401,+295.391,+296.250,8.314E-2
Fri Jun  5 10:40:58 2015,1433515258.009086,+295.389,+296.249,8.314E-2
Fri Jun  5 10:40:59 2015,1433515259.21666,+295.385,+296.250,8.319E-2
Fri Jun  5 10:41:00 2015,1433515260.425002,+295.388,+296.249,8.321E-2
Fri Jun  5 10:41:01 2015,1433515261.645311,+295.391,+296.248,8.323E-2
Fri Jun  5 10:41:02 2015,1433515262.861047,+295.391,+296.248,8.327E-2
Fri Jun  5 10:41:04 2015,1433515264.076622,+295.392,+296.249,8.328E-2
Fri Jun  5 10:41:05 2015,1433515265.294477,+295.388,+296.248,8.333E-2
Fri Jun  5 10:41:06 2015,1433515266.515238,+295.389,+296.248,8.333E-2
Fri Jun  5 10:41:07 2015,1433515267.725503,+295.389,+296.249,8.338E-2
Fri Jun  5 10:41:08 2015,1433515268.943023,+295.389,+296.249,8.340E-2
Fri Jun  5 10:41:10 2015,1433515270.166822,+295.388,+296.237,8.342E-2
Fri Jun  5 10:41:11 2015,1433515271.39087,+295.388,+296.248,8.344E-2
Fri Jun  5 10:41:12 2015,1433515272.608115,+295.388,+296.246,8.348E-2
Fri Jun  5 10:41:13 2015,1433515273.821611,+295.388,+296.246,8.349E-2
Fri Jun  5 10:41:15 2015,1433515275.03845,+295.388,+296.246,8.355E-2
Fri Jun  5 10:41:16 2015,1433515276.253373,+295.394,+296.246,8.355E-2
Fri Jun  5 10:41:17 2015,1433515277.467975,+295.386,+296.246,8.360E-2
Fri Jun  5 10:41:18 2015,1433515278.683323,+295.388,+296.245,8.361E-2
Fri Jun  5 10:41:19 2015,1433515279.898098,+295.389,+296.246,8.364E-2
Fri Jun  5 10:41:21 2015,1433515281.10869,+295.385,+296.234,8.367E-2
Fri Jun  5 10:41:22 2015,1433515282.333044,+295.388,+296.244,8.369E-2
