#Time Stamp,seconds since epoch,Input A,Input B,Pressure
Fri Jun  5 09:23:42 2015,1433510622.356739,+295.882,+297.034,2.126E-4
Fri Jun  5 09:23:43 2015,1433510623.572276,+295.883,+297.032,2.134E-4
Fri Jun  5 09:23:44 2015,1433510624.784321,+295.882,+297.032,2.142E-4
Fri Jun  5 09:23:46 2015,1433510626.001172,+295.880,+297.032,2.150E-4
Fri Jun  5 09:23:47 2015,1433510627.214588,+295.885,+297.031,2.156E-4
Fri Jun  5 09:23:48 2015,1433510628.427137,+295.888,+297.030,2.165E-4
Fri Jun  5 09:23:49 2015,1433510629.638785,+295.883,+297.031,2.171E-4
Fri Jun  5 09:23:50 2015,1433510630.857496,+295.886,+297.032,2.179E-4
Fri Jun  5 09:23:52 2015,1433510632.0728,+295.885,+297.032,2.185E-4
Fri Jun  5 09:23:53 2015,1433510633.282203,+295.885,+297.032,2.192E-4
Fri Jun  5 09:23:54 2015,1433510634.497677,+295.885,+297.031,2.199E-4
Fri Jun  5 09:23:55 2015,1433510635.706972,+295.883,+297.031,2.206E-4
Fri Jun  5 09:23:56 2015,1433510636.918411,+295.883,+297.032,2.214E-4
Fri Jun  5 09:23:58 2015,1433510638.195263,+295.880,+297.031,2.221E-4
Fri Jun  5 09:23:59 2015,1433510639.406643,+295.880,+297.033,2.228E-4
Fri Jun  5 09:24:00 2015,1433510640.619959,+295.885,+297.030,2.234E-4
Fri Jun  5 09:24:01 2015,1433510641.839986,+295.880,+297.031,2.242E-4
Fri Jun  5 09:24:03 2015,1433510643.054486,+295.880,+297.030,2.248E-4
Fri Jun  5 09:24:04 2015,1433510644.272229,+295.882,+297.030,2.254E-4
Fri Jun  5 09:24:05 2015,1433510645.491391,+295.879,+297.029,2.260E-4
Fri Jun  5 09:24:06 2015,1433510646.705989,+295.878,+297.028,2.266E-4
Fri Jun  5 09:24:07 2015,1433510647.923571,+295.885,+297.031,2.271E-4
Fri Jun  5 09:24:09 2015,1433510649.148189,+295.885,+297.031,2.276E-4
Fri Jun  5 09:24:10 2015,1433510650.378019,+295.880,+297.032,2.283E-4
Fri Jun  5 09:24:11 2015,1433510651.589504,+295.880,+297.030,2.287E-4
Fri Jun  5 09:24:12 2015,1433510652.794686,+295.883,+297.031,2.292E-4
Fri Jun  5 09:24:14 2015,1433510654.002456,+295.879,+297.029,2.298E-4
Fri Jun  5 09:24:15 2015,1433510655.221261,+295.882,+297.030,2.304E-4
Fri Jun  5 09:24:16 2015,1433510656.44032,+295.882,+297.029,2.312E-4
Fri Jun  5 09:24:17 2015,1433510657.656107,+295.878,+297.031,2.318E-4
Fri Jun  5 09:24:18 2015,1433510658.875688,+295.878,+297.029,2.324E-4
Fri Jun  5 09:24:20 2015,1433510660.083285,+295.883,+297.030,2.330E-4
Fri Jun  5 09:24:21 2015,1433510661.298404,+295.880,+297.028,2.335E-4
Fri Jun  5 09:24:22 2015,1433510662.508014,+295.876,+297.031,2.341E-4
Fri Jun  5 09:24:23 2015,1433510663.718968,+295.875,+297.028,2.346E-4
Fri Jun  5 09:24:24 2015,1433510664.931741,+295.880,+297.027,2.352E-4
Fri Jun  5 09:24:26 2015,1433510666.149522,+295.880,+297.029,2.356E-4
Fri Jun  5 09:24:27 2015,1433510667.366521,+295.880,+297.030,2.360E-4
Fri Jun  5 09:24:28 2015,1433510668.586579,+295.878,+297.030,2.365E-4
Fri Jun  5 09:24:29 2015,1433510669.798718,+295.878,+297.029,2.370E-4
Fri Jun  5 09:24:31 2015,1433510671.021868,+295.878,+297.028,2.375E-4
Fri Jun  5 09:24:32 2015,1433510672.24229,+295.879,+297.028,2.378E-4
Fri Jun  5 09:24:33 2015,1433510673.461399,+295.878,+297.028,2.382E-4
Fri Jun  5 09:24:34 2015,1433510674.67227,+295.880,+297.027,2.386E-4
Fri Jun  5 09:24:35 2015,1433510675.884577,+295.879,+297.028,2.392E-4
Fri Jun  5 09:24:37 2015,1433510677.103628,+295.880,+297.028,2.396E-4
Fri Jun  5 09:24:38 2015,1433510678.320077,+295.873,+297.027,2.400E-4
Fri Jun  5 09:24:39 2015,1433510679.537242,+295.882,+297.028,2.404E-4
Fri Jun  5 09:24:40 2015,1433510680.752005,+295.878,+297.029,2.408E-4
Fri Jun  5 09:24:41 2015,1433510681.992076,+295.880,+297.027,2.412E-4
