#Time Stamp,seconds since epoch,Input A,Input B,Pressure
Fri Jun  5 14:03:51 2015,1433527431.191577,+295.914,+297.043,7.302E+2
Fri Jun  5 14:03:52 2015,1433527432.410217,+295.915,+297.043,7.302E+2
Fri Jun  5 14:03:53 2015,1433527433.62665,+295.915,+297.044,7.302E+2
Fri Jun  5 14:03:54 2015,1433527434.842392,+295.914,+297.045,7.302E+2
Fri Jun  5 14:03:56 2015,1433527436.05709,+295.917,+297.046,7.302E+2
Fri Jun  5 14:03:57 2015,1433527437.268902,+295.917,+297.046,7.302E+2
Fri Jun  5 14:03:58 2015,1433527438.474968,+295.920,+297.045,7.029E+2
Fri Jun  5 14:03:59 2015,1433527439.687071,+295.906,+297.039,6.528E+2
Fri Jun  5 14:04:00 2015,1433527440.898342,+295.902,+297.032,6.086E+2
Fri Jun  5 14:04:02 2015,1433527442.103563,+295.888,+297.024,5.731E+2
Fri Jun  5 14:04:03 2015,1433527443.321206,+295.876,+297.015,5.340E+2
Fri Jun  5 14:04:04 2015,1433527444.527868,+295.858,+297.006,5.009E+2
Fri Jun  5 14:04:05 2015,1433527445.743987,+295.847,+296.995,4.701E+2
Fri Jun  5 14:04:06 2015,1433527446.955343,+295.835,+296.986,4.413E+2
Fri Jun  5 14:04:08 2015,1433527448.1661,+295.821,+296.980,4.128E+2
Fri Jun  5 14:04:09 2015,1433527449.383883,+295.808,+296.973,3.867E+2
Fri Jun  5 14:04:10 2015,1433527450.596558,+295.792,+296.969,3.633E+2
Fri Jun  5 14:04:11 2015,1433527451.811059,+295.786,+296.965,3.401E+2
Fri Jun  5 14:04:13 2015,1433527453.025712,+295.779,+296.961,3.188E+2
Fri Jun  5 14:04:14 2015,1433527454.239166,+295.765,+296.953,2.984E+2
Fri Jun  5 14:04:15 2015,1433527455.456706,+295.753,+296.950,2.814E+2
Fri Jun  5 14:04:16 2015,1433527456.680068,+295.751,+296.945,2.634E+2
Fri Jun  5 14:04:17 2015,1433527457.88779,+295.738,+296.945,2.477E+2
Fri Jun  5 14:04:19 2015,1433527459.102797,+295.728,+296.947,2.320E+2
Fri Jun  5 14:04:20 2015,1433527460.317489,+295.726,+296.946,2.185E+2
Fri Jun  5 14:04:21 2015,1433527461.530262,+295.718,+296.944,2.067E+2
Fri Jun  5 14:04:22 2015,1433527462.745087,+295.714,+296.942,1.927E+2
Fri Jun  5 14:04:23 2015,1433527463.956258,+295.705,+296.943,1.814E+2
Fri Jun  5 14:04:25 2015,1433527465.168974,+295.702,+296.942,1.723E+2
Fri Jun  5 14:04:26 2015,1433527466.386616,+295.694,+296.943,1.611E+2
Fri Jun  5 14:04:27 2015,1433527467.602732,+295.691,+296.943,1.523E+2
Fri Jun  5 14:04:28 2015,1433527468.818056,+295.685,+296.943,1.431E+2
Fri Jun  5 14:04:30 2015,1433527470.035755,+295.674,+296.942,1.358E+2
Fri Jun  5 14:04:31 2015,1433527471.253272,+295.674,+296.943,1.286E+2
Fri Jun  5 14:04:32 2015,1433527472.465668,+295.672,+296.942,1.194E+2
Fri Jun  5 14:04:33 2015,1433527473.68708,+295.667,+296.940,1.145E+2
Fri Jun  5 14:04:34 2015,1433527474.898575,+295.660,+296.937,1.077E+2
Fri Jun  5 14:04:36 2015,1433527476.11384,+295.659,+296.938,1.023E+2
Fri Jun  5 14:04:37 2015,1433527477.326976,+295.656,+296.938,9.671E+1
Fri Jun  5 14:04:38 2015,1433527478.545192,+295.650,+296.937,9.161E+1
Fri Jun  5 14:04:39 2015,1433527479.759643,+295.650,+296.937,8.671E+1
Fri Jun  5 14:04:40 2015,1433527480.977411,+295.643,+296.937,8.271E+1
Fri Jun  5 14:04:42 2015,1433527482.197559,+295.643,+296.936,7.811E+1
Fri Jun  5 14:04:43 2015,1433527483.414421,+295.642,+296.937,7.421E+1
Fri Jun  5 14:04:44 2015,1433527484.632455,+295.638,+296.938,7.031E+1
Fri Jun  5 14:04:45 2015,1433527485.849984,+295.635,+296.937,6.671E+1
Fri Jun  5 14:04:47 2015,1433527487.065698,+295.632,+296.938,6.321E+1
Fri Jun  5 14:04:48 2015,1433527488.283281,+295.625,+296.937,6.011E+1
Fri Jun  5 14:04:49 2015,1433527489.494817,+295.628,+296.937,5.339E+1
Fri Jun  5 14:04:50 2015,1433527490.71352,+295.624,+296.937,5.188E+1
Fri Jun  5 14:04:51 2015,1433527491.935273,+295.622,+296.937,5.038E+1
Fri Jun  5 14:04:53 2015,1433527493.15082,+295.618,+296.937,4.883E+1
Fri Jun  5 14:04:54 2015,1433527494.362653,+295.617,+296.938,4.728E+1
Fri Jun  5 14:04:55 2015,1433527495.591834,+295.615,+296.936,4.572E+1
Fri Jun  5 14:04:56 2015,1433527496.808507,+295.615,+296.937,4.408E+1
Fri Jun  5 14:04:58 2015,1433527498.027599,+295.614,+296.939,4.240E+1
Fri Jun  5 14:04:59 2015,1433527499.250883,+295.611,+296.938,4.067E+1
Fri Jun  5 14:05:00 2015,1433527500.472107,+295.611,+296.938,3.886E+1
Fri Jun  5 14:05:01 2015,1433527501.683208,+295.609,+296.938,3.713E+1
Fri Jun  5 14:05:02 2015,1433527502.897031,+295.602,+296.938,3.562E+1
Fri Jun  5 14:05:04 2015,1433527504.108836,+295.604,+296.938,3.408E+1
Fri Jun  5 14:05:05 2015,1433527505.326187,+295.607,+296.937,3.273E+1
Fri Jun  5 14:05:06 2015,1433527506.545284,+295.604,+296.938,3.141E+1
