#Time Stamp,seconds since epoch,Input A,Input B,Pressure
Thu Jul 16 11:47:32 2015,1437061652.1374,+297.523,+298.673,1.100E-3
Thu Jul 16 11:47:33 2015,1437061653.339376,+297.522,+298.673,1.100E-3
Thu Jul 16 11:47:34 2015,1437061654.541214,+297.523,+298.673,1.100E-3
Thu Jul 16 11:47:35 2015,1437061655.743046,+297.525,+298.672,1.110E-3
Thu Jul 16 11:47:36 2015,1437061656.944888,+297.522,+298.673,1.100E-3
Thu Jul 16 11:47:38 2015,1437061658.146728,+297.525,+298.673,1.110E-3
Thu Jul 16 11:47:39 2015,1437061659.348557,+297.522,+298.672,1.100E-3
Thu Jul 16 11:47:40 2015,1437061660.550379,+297.519,+298.673,1.110E-3
Thu Jul 16 11:47:41 2015,1437061661.75223,+297.525,+298.673,1.100E-3
Thu Jul 16 11:47:42 2015,1437061662.954044,+297.522,+298.673,1.100E-3
Thu Jul 16 11:47:44 2015,1437061664.155864,+297.525,+298.672,1.110E-3
Thu Jul 16 11:47:45 2015,1437061665.357692,+297.523,+298.672,1.100E-3
Thu Jul 16 11:47:46 2015,1437061666.559525,+297.522,+298.672,1.110E-3
Thu Jul 16 11:47:47 2015,1437061667.761349,+297.521,+298.673,1.110E-3
Thu Jul 16 11:47:48 2015,1437061668.963185,+297.519,+298.673,1.110E-3
Thu Jul 16 11:47:50 2015,1437061670.165006,+297.522,+298.662,1.100E-3
Thu Jul 16 11:47:51 2015,1437061671.36683,+297.521,+298.672,1.110E-3
Thu Jul 16 11:47:52 2015,1437061672.568666,+297.523,+298.672,1.100E-3
Thu Jul 16 11:47:53 2015,1437061673.770486,+297.522,+298.671,1.110E-3
Thu Jul 16 11:47:54 2015,1437061674.972309,+297.522,+298.671,1.110E-3
Thu Jul 16 11:47:56 2015,1437061676.174139,+297.519,+298.671,1.110E-3
Thu Jul 16 11:47:57 2015,1437061677.375967,+297.521,+298.673,1.110E-3
Thu Jul 16 11:47:58 2015,1437061678.577816,+297.525,+298.670,1.120E-3
Thu Jul 16 11:47:59 2015,1437061679.779675,+297.526,+298.671,1.110E-3
Thu Jul 16 11:48:00 2015,1437061680.981563,+297.521,+298.671,1.120E-3
Thu Jul 16 11:48:02 2015,1437061682.183441,+297.523,+298.667,1.110E-3
Thu Jul 16 11:48:03 2015,1437061683.38531,+297.521,+298.647,1.110E-3
Thu Jul 16 11:48:04 2015,1437061684.587122,+297.516,+298.613,1.110E-3
Thu Jul 16 11:48:05 2015,1437061685.788947,+297.523,+298.562,1.110E-3
Thu Jul 16 11:48:06 2015,1437061686.990791,+297.523,+298.496,1.120E-3
Thu Jul 16 11:48:08 2015,1437061688.192614,+297.519,+298.420,1.110E-3
Thu Jul 16 11:48:09 2015,1437061689.394432,+297.523,+298.354,1.120E-3
Thu Jul 16 11:48:10 2015,1437061690.596276,+297.521,+298.285,1.110E-3
Thu Jul 16 11:48:11 2015,1437061691.7981,+297.522,+298.219,1.120E-3
Thu Jul 16 11:48:12 2015,1437061692.999936,+297.523,+298.144,1.110E-3
Thu Jul 16 11:48:14 2015,1437061694.201776,+297.523,+298.070,1.110E-3
Thu Jul 16 11:48:15 2015,1437061695.403594,+297.521,+297.983,1.110E-3
Thu Jul 16 11:48:16 2015,1437061696.605455,+297.522,+297.898,1.110E-3
Thu Jul 16 11:48:17 2015,1437061697.807294,+297.519,+297.799,1.110E-3
Thu Jul 16 11:48:19 2015,1437061699.009119,+297.525,+297.697,1.110E-3
Thu Jul 16 11:48:20 2015,1437061700.210947,+297.525,+297.579,1.110E-3
Thu Jul 16 11:48:21 2015,1437061701.412779,+297.521,+297.457,1.110E-3
Thu Jul 16 11:48:22 2015,1437061702.614606,+297.519,+297.325,1.110E-3
Thu Jul 16 11:48:23 2015,1437061703.816428,+297.521,+297.176,1.110E-3
Thu Jul 16 11:48:25 2015,1437061705.018262,+297.522,+297.019,1.110E-3
Thu Jul 16 11:48:26 2015,1437061706.220112,+297.525,+296.841,1.110E-3
Thu Jul 16 11:48:27 2015,1437061707.421937,+297.521,+296.655,1.110E-3
Thu Jul 16 11:48:28 2015,1437061708.623776,+297.522,+296.442,1.110E-3
Thu Jul 16 11:48:29 2015,1437061709.825625,+297.521,+296.220,1.100E-3
Thu Jul 16 11:48:31 2015,1437061711.027476,+297.518,+295.973,1.110E-3
Thu Jul 16 11:48:32 2015,1437061712.229311,+297.519,+295.723,1.100E-3
Thu Jul 16 11:48:33 2015,1437061713.431146,+297.518,+295.450,1.100E-3
Thu Jul 16 11:48:34 2015,1437061714.63297,+297.522,+295.179,1.100E-3
Thu Jul 16 11:48:35 2015,1437061715.834796,+297.519,+294.884,1.100E-3
Thu Jul 16 11:48:37 2015,1437061717.036667,+297.513,+294.592,1.100E-3
Thu Jul 16 11:48:38 2015,1437061718.238488,+297.513,+294.285,1.100E-3
Thu Jul 16 11:48:39 2015,1437061719.44031,+297.516,+294.000,1.100E-3
Thu Jul 16 11:48:40 2015,1437061720.642131,+297.513,+293.700,1.090E-3
Thu Jul 16 11:48:41 2015,1437061721.843973,+297.513,+293.390,1.100E-3
Thu Jul 16 11:48:43 2015,1437061723.04584,+297.521,+293.065,1.090E-3
Thu Jul 16 11:48:44 2015,1437061724.247721,+297.516,+292.692,1.100E-3
Thu Jul 16 11:48:45 2015,1437061725.449599,+297.518,+292.362,1.090E-3
Thu Jul 16 11:48:46 2015,1437061726.651485,+297.518,+292.012,1.090E-3
Thu Jul 16 11:48:47 2015,1437061727.853338,+297.513,+291.666,1.090E-3
Thu Jul 16 11:48:49 2015,1437061729.055196,+297.516,+291.304,1.090E-3
Thu Jul 16 11:48:50 2015,1437061730.257043,+297.513,+290.955,1.090E-3
Thu Jul 16 11:48:51 2015,1437061731.45888,+297.513,+290.588,1.080E-3
Thu Jul 16 11:48:52 2015,1437061732.660702,+297.511,+290.232,1.080E-3
Thu Jul 16 11:48:53 2015,1437061733.862533,+297.510,+289.863,1.060E-3
Thu Jul 16 11:48:55 2015,1437061735.064365,+297.513,+289.513,1.070E-3
Thu Jul 16 11:48:56 2015,1437061736.266225,+297.510,+289.145,1.060E-3
Thu Jul 16 11:48:57 2015,1437061737.468084,+297.510,+288.792,1.060E-3
Thu Jul 16 11:48:58 2015,1437061738.669915,+297.505,+288.424,1.060E-3
Thu Jul 16 11:48:59 2015,1437061739.871741,+297.510,+288.066,1.060E-3
Thu Jul 16 11:49:01 2015,1437061741.073611,+297.513,+287.709,1.060E-3
Thu Jul 16 11:49:02 2015,1437061742.27545,+297.508,+287.339,1.040E-3
Thu Jul 16 11:49:03 2015,1437061743.477319,+297.506,+286.987,1.050E-3
Thu Jul 16 11:49:04 2015,1437061744.679143,+297.505,+286.623,1.040E-3
Thu Jul 16 11:49:05 2015,1437061745.880974,+297.505,+286.280,1.050E-3
Thu Jul 16 11:49:07 2015,1437061747.082833,+297.506,+285.921,1.040E-3
Thu Jul 16 11:49:08 2015,1437061748.284653,+297.502,+285.574,1.040E-3
Thu Jul 16 11:49:09 2015,1437061749.486491,+297.502,+285.211,1.040E-3
Thu Jul 16 11:49:10 2015,1437061750.688326,+297.504,+284.864,1.030E-3
Thu Jul 16 11:49:11 2015,1437061751.890146,+297.501,+284.502,1.030E-3
Thu Jul 16 11:49:13 2015,1437061753.092018,+297.499,+284.154,1.020E-3
Thu Jul 16 11:49:14 2015,1437061754.293842,+297.498,+283.791,1.030E-3
Thu Jul 16 11:49:15 2015,1437061755.495705,+297.499,+283.442,1.020E-3
Thu Jul 16 11:49:16 2015,1437061756.697599,+297.501,+283.081,1.020E-3
Thu Jul 16 11:49:17 2015,1437061757.899437,+297.497,+282.737,1.010E-3
Thu Jul 16 11:49:19 2015,1437061759.101304,+297.494,+282.380,1.010E-3
Thu Jul 16 11:49:20 2015,1437061760.30313,+297.497,+282.040,1.010E-3
Thu Jul 16 11:49:21 2015,1437061761.504959,+297.494,+281.698,1.000E-3
Thu Jul 16 11:49:22 2015,1437061762.70679,+297.493,+281.339,1.000E-3
Thu Jul 16 11:49:23 2015,1437061763.908618,+297.491,+280.998,9.900E-4
Thu Jul 16 11:49:25 2015,1437061765.110453,+297.489,+280.640,1.000E-3
Thu Jul 16 11:49:26 2015,1437061766.312292,+297.495,+280.302,9.900E-4
Thu Jul 16 11:49:27 2015,1437061767.514119,+297.487,+279.952,9.900E-4
Thu Jul 16 11:49:28 2015,1437061768.715938,+297.487,+279.618,9.800E-4
Thu Jul 16 11:49:29 2015,1437061769.917768,+297.487,+279.273,9.800E-4
Thu Jul 16 11:49:31 2015,1437061771.119603,+297.486,+278.938,9.800E-4
Thu Jul 16 11:49:32 2015,1437061772.321426,+297.484,+278.591,9.700E-4
Thu Jul 16 11:49:33 2015,1437061773.523257,+297.488,+278.256,9.700E-4
Thu Jul 16 11:49:34 2015,1437061774.725084,+297.486,+277.910,9.600E-4
Thu Jul 16 11:49:35 2015,1437061775.926934,+297.482,+277.580,9.700E-4
Thu Jul 16 11:49:37 2015,1437061777.128769,+297.488,+277.234,9.600E-4
Thu Jul 16 11:49:38 2015,1437061778.330589,+297.482,+276.907,9.600E-4
Thu Jul 16 11:49:39 2015,1437061779.532415,+297.476,+276.566,9.600E-4
Thu Jul 16 11:49:40 2015,1437061780.734241,+297.482,+276.236,9.500E-4
Thu Jul 16 11:49:41 2015,1437061781.936099,+297.477,+275.907,9.600E-4
Thu Jul 16 11:49:43 2015,1437061783.137926,+297.476,+275.567,9.500E-4
Thu Jul 16 11:49:44 2015,1437061784.339752,+297.478,+275.237,9.400E-4
Thu Jul 16 11:49:45 2015,1437061785.541582,+297.477,+274.895,9.400E-4
Thu Jul 16 11:49:46 2015,1437061786.743452,+297.471,+274.564,9.400E-4
Thu Jul 16 11:49:47 2015,1437061787.945317,+297.473,+274.228,9.400E-4
Thu Jul 16 11:49:49 2015,1437061789.147153,+297.474,+273.908,9.300E-4
Thu Jul 16 11:49:50 2015,1437061790.349001,+297.471,+273.578,9.300E-4
Thu Jul 16 11:49:51 2015,1437061791.550827,+297.470,+273.234,9.300E-4
Thu Jul 16 11:49:52 2015,1437061792.752651,+297.467,+272.903,9.200E-4
Thu Jul 16 11:49:53 2015,1437061793.954472,+297.469,+272.587,9.300E-4
Thu Jul 16 11:49:55 2015,1437061795.156297,+297.463,+272.253,9.200E-4
Thu Jul 16 11:49:56 2015,1437061796.358124,+297.465,+271.936,9.200E-4
Thu Jul 16 11:49:57 2015,1437061797.559958,+297.459,+271.603,9.100E-4
Thu Jul 16 11:49:58 2015,1437061798.761812,+297.464,+271.279,9.200E-4
Thu Jul 16 11:49:59 2015,1437061799.96368,+297.460,+270.976,9.100E-4
Thu Jul 16 11:50:01 2015,1437061801.165576,+297.456,+270.648,9.000E-4
Thu Jul 16 11:50:02 2015,1437061802.367444,+297.456,+270.335,9.100E-4
Thu Jul 16 11:50:03 2015,1437061803.569313,+297.454,+270.009,9.000E-4
Thu Jul 16 11:50:04 2015,1437061804.771137,+297.453,+269.697,9.100E-4
Thu Jul 16 11:50:05 2015,1437061805.972974,+297.453,+269.375,8.900E-4
Thu Jul 16 11:50:07 2015,1437061807.174803,+297.447,+269.072,9.000E-4
Thu Jul 16 11:50:08 2015,1437061808.376624,+297.447,+268.752,8.900E-4
Thu Jul 16 11:50:09 2015,1437061809.578457,+297.442,+268.446,8.900E-4
Thu Jul 16 11:50:10 2015,1437061810.780289,+297.440,+268.129,8.900E-4
Thu Jul 16 11:50:11 2015,1437061811.982121,+297.450,+267.826,8.800E-4
Thu Jul 16 11:50:13 2015,1437061813.183948,+297.443,+267.513,8.900E-4
Thu Jul 16 11:50:14 2015,1437061814.38577,+297.443,+267.215,8.800E-4
Thu Jul 16 11:50:15 2015,1437061815.587593,+297.433,+266.905,8.800E-4
