#Time Stamp,seconds since epoch,Input A,Input B,Pressure
Fri Jun  5 10:02:36 2015,1433512956.726564,+295.728,+296.746,3.277E-2
Fri Jun  5 10:02:37 2015,1433512957.946898,+295.727,+296.746,3.279E-2
Fri Jun  5 10:02:39 2015,1433512959.166908,+295.728,+296.745,3.281E-2
Fri Jun  5 10:02:40 2015,1433512960.382889,+295.724,+296.745,3.285E-2
Fri Jun  5 10:02:41 2015,1433512961.593752,+295.730,+296.744,3.287E-2
Fri Jun  5 10:02:42 2015,1433512962.805712,+295.728,+296.744,3.290E-2
Fri Jun  5 10:02:44 2015,1433512964.025928,+295.728,+296.745,3.292E-2
Fri Jun  5 10:02:45 2015,1433512965.242703,+295.730,+296.745,3.295E-2
Fri Jun  5 10:02:46 2015,1433512966.453602,+295.728,+296.745,3.297E-2
Fri Jun  5 10:02:47 2015,1433512967.671224,+295.727,+296.744,3.300E-2
Fri Jun  5 10:02:48 2015,1433512968.884308,+295.727,+296.744,3.303E-2
Fri Jun  5 10:02:50 2015,1433512970.094871,+295.731,+296.745,3.305E-2
Fri Jun  5 10:02:51 2015,1433512971.315136,+295.728,+296.745,3.309E-2
Fri Jun  5 10:02:52 2015,1433512972.534079,+295.727,+296.744,3.310E-2
Fri Jun  5 10:02:53 2015,1433512973.748667,+295.730,+296.741,3.314E-2
Fri Jun  5 10:02:54 2015,1433512974.959264,+295.727,+296.741,3.315E-2
Fri Jun  5 10:02:56 2015,1433512976.176765,+295.728,+296.742,3.319E-2
Fri Jun  5 10:02:57 2015,1433512977.385573,+295.730,+296.743,3.322E-2
Fri Jun  5 10:02:58 2015,1433512978.606168,+295.725,+296.740,3.324E-2
Fri Jun  5 10:02:59 2015,1433512979.826066,+295.725,+296.741,3.328E-2
Fri Jun  5 10:03:01 2015,1433512981.044709,+295.725,+296.741,3.329E-2
Fri Jun  5 10:03:02 2015,1433512982.261332,+295.727,+296.740,3.333E-2
Fri Jun  5 10:03:03 2015,1433512983.476372,+295.727,+296.739,3.334E-2
Fri Jun  5 10:03:04 2015,1433512984.695486,+295.728,+296.740,3.338E-2
Fri Jun  5 10:03:05 2015,1433512985.910289,+295.728,+296.740,3.340E-2
Fri Jun  5 10:03:07 2015,1433512987.12264,+295.725,+296.739,3.342E-2
Fri Jun  5 10:03:08 2015,1433512988.34051,+295.730,+296.740,3.346E-2
Fri Jun  5 10:03:09 2015,1433512989.55573,+295.727,+296.739,3.347E-2
Fri Jun  5 10:03:10 2015,1433512990.764652,+295.727,+296.739,3.351E-2
Fri Jun  5 10:03:11 2015,1433512991.980818,+295.727,+296.738,3.352E-2
Fri Jun  5 10:03:13 2015,1433512993.194315,+295.723,+296.738,3.357E-2
Fri Jun  5 10:03:14 2015,1433512994.408981,+295.730,+296.738,3.358E-2
Fri Jun  5 10:03:15 2015,1433512995.622242,+295.731,+296.738,3.361E-2
Fri Jun  5 10:03:16 2015,1433512996.839608,+295.725,+296.737,3.364E-2
